district,year,cloudburst_probability,extreme_rainfall_days,cloudburst_severity
Guntur,1989,6.658046848263069e-05,0,0.009987070272394604
Guntur,1990,5.474859365299728e-05,0,0.014988570721803785
Guntur,1991,0.0001092074931113104,0,0.03497527651719938
Guntur,1992,0.00026012504619770673,0,0.03498777666385587
Guntur,1993,0.0,0,0.0
Guntur,1994,0.0001369253362871781,0,0.029991716976634945
Guntur,1995,1.3646628310219194e-05,0,0.004994665961540225
Guntur,1996,1.3698630136986302e-05,0,0.005
Guntur,1997,1.3684016332986917e-05,0,0.004994665961540225
Guntur,1998,0.00019167569080160023,0,0.03497527651719938
Guntur,1999,0.0,0,0.0
Guntur,2000,0.0,0,0.0
Guntur,2001,1.369338056613872e-05,0,0.004998083906640633
Guntur,2002,0.0,0,0.0
Guntur,2003,0.00023214045177881248,0,0.07496873938950514
Guntur,2004,0.0,0,0.0
Guntur,2005,5.474776076790216e-05,0,0.014988266718744063
Guntur,2006,0.0001369122661218228,0,0.029991716976634945
Guntur,2007,0.00019117898158813143,0,0.0699715072612561
Guntur,2008,0.0001505801589399303,0,0.03997318729127077
Guntur,2009,5.4762325542165424e-05,0,0.01998824882289038
Guntur,2010,0.0002190677900329183,0,0.03497527651719938
Guntur,2011,0.0,0,0.0
Guntur,2012,0.00010950906278345964,0,0.03497527651719938
Guntur,2013,5.474776076790216e-05,0,0.014988266718744063
Guntur,2014,0.0,0,0.0
Guntur,2015,0.0,0,0.0
Guntur,2016,0.0,0,0.0
Guntur,2017,0.0,0,0.0
Guntur,2018,0.0,0,0.0
Guntur,2019,1.3655966958034516e-05,0,0.004998083906640633
Guntur,2020,2.336448598130841e-05,0,0.005
Kota,1989,0.0,0,0.0
Kota,1990,0.0,0,0.0
Kota,1991,0.0,0,0.0
Kota,1992,0.0,0,0.0
Kota,1993,0.0,0,0.0
Kota,1994,0.0,0,0.0
Kota,1995,2.7310195078588494e-05,0,0.005
Kota,1996,0.0,0,0.0
Kota,1997,0.0,0,0.0
Kota,1998,0.0,0,0.0
Kota,1999,0.0,0,0.0
Kota,2000,0.0,0,0.0
Kota,2001,0.0,0,0.0
Kota,2002,1.3698630136986302e-05,0,0.005
Kota,2003,0.0,0,0.0
Kota,2004,0.00016428382330181484,0,0.049965238217302525
Kota,2005,0.0,0,0.0
Kota,2006,0.00012321413138635377,0,0.024984149961518178
Kota,2007,0.0,0,0.0
Kota,2008,0.0,0,0.0
Kota,2009,0.0,0,0.0
Kota,2010,0.0,0,0.0
Kota,2011,0.0,0,0.0
Kota,2012,0.0,0,0.0
Kota,2013,1.36863873938723e-05,0,0.00499553139876339
Kota,2014,0.000136891063609048,0,0.049965238217302525
Kota,2015,0.0,0,0.0
Kota,2016,0.0005338810838129182,0,0.14490135737441262
Kota,2017,0.0,0,0.0
Kota,2018,0.0,0,0.0
Kota,2019,0.00036867968702009415,0,0.04496724551657261
Kota,2020,0.0,0,0.0
Ludhiana,1989,0.0,0,0.0
Ludhiana,1990,0.00040390577198698256,0,0.14494452798647026
Ludhiana,1991,0.0009282826069062553,0,0.1698798871768743
Ludhiana,1992,0.00019164219655957304,0,0.06495780184880952
Ludhiana,1993,0.00015061552880614985,0,0.09995717961832401
Ludhiana,1994,0.00044489102893258646,0,0.08494716298794504
Ludhiana,1995,3.410650990310533e-05,0,0.009992156410165378
Ludhiana,1996,0.0011571924973988346,1,0.6598681143771128
Ludhiana,1997,0.00025326978558705816,0,0.0699568892402091
Ludhiana,1998,0.0005613909352572699,0,0.38983685284455005
Ludhiana,1999,4.7781983565259825e-05,0,0.029980880571006806
Ludhiana,2000,2.7374400731740447e-05,0,0.019983312534170527
Ludhiana,2001,0.0005064880049099243,0,0.1698798871768743
Ludhiana,2002,6.849315068493151e-06,0,0.005
Ludhiana,2003,0.00018427791035080605,0,0.0649463839275469
Ludhiana,2004,0.0007940919041258857,0,0.3898365791036149
Ludhiana,2005,0.0006914311258631735,0,0.38983685284455005
Ludhiana,2006,0.001533545150850044,1,0.6248496210401566
Ludhiana,2007,0.00012968128848408372,0,0.0649463839275469
Ludhiana,2008,0.00013003258042330952,0,0.0649463839275469
Ludhiana,2009,4.793233214014495e-05,0,0.029990602462305817
Ludhiana,2010,0.0001711324365139427,0,0.0649463839275469
Ludhiana,2011,0.001597410098028679,0,0.38983685284455005
Ludhiana,2012,0.00042433151447223734,0,0.06495780184880952
Ludhiana,2013,0.0021424880298220967,0,0.3898365791036149
Ludhiana,2014,0.0003148794435025894,0,0.1698798871768743
Ludhiana,2015,0.00034125592293787413,0,0.0649463839275469
Ludhiana,2016,0.0008077686531763987,0,0.09995717961832401
Ludhiana,2017,0.0001095128441442067,0,0.0649463839275469
Ludhiana,2018,0.0006570898227305038,0,0.22986550109551487
Ludhiana,2019,0.0014950621777482195,0,0.39485016820572616
Ludhiana,2020,0.00042026575121834975,0,0.0699568892402091
Nashik,1989,0.0,0,0.0
Nashik,1990,0.00010946463701695087,0,0.014981050172260755
Nashik,1991,0.00019104526944282408,0,0.029961468244021204
Nashik,1992,9.581277310509414e-05,0,0.024971662183359365
Nashik,1993,5.476558407861108e-05,0,0.01
Nashik,1994,8.211280663733664e-05,0,0.009989438188693044
Nashik,1995,4.094637563686218e-05,0,0.009986373483091558
Nashik,1996,4.106695394162478e-05,0,0.009989438188693044
Nashik,1997,0.000191522275162102,0,0.024971662183359365
Nashik,1998,0.00035570740292133803,0,0.029961468244021204
Nashik,1999,0.0,0,0.0
Nashik,2000,1.3697629908434078e-05,0,0.004999634916578438
Nashik,2001,2.7368323804638477e-05,0,0.009989438188693044
Nashik,2002,0.0,0,0.0
Nashik,2003,0.0007233725520917241,0,0.08494637272826257
Nashik,2004,0.0,0,0.0
Nashik,2005,0.00027374031644842277,0,0.034990165050645575
Nashik,2006,0.0003694540626766115,0,0.029961468244021204
Nashik,2007,2.7288074742667124e-05,0,0.005
Nashik,2008,0.0001915456708822256,0,0.029961468244021204
Nashik,2009,0.00042430338777976187,0,0.08494637272826257
Nashik,2010,0.0002873463381291006,0,0.034961468244021195
Nashik,2011,8.188555341503624e-05,0,0.009989438188693044
Nashik,2012,0.0,0,0.0
Nashik,2013,0.00016420002123307024,0,0.029961468244021204
Nashik,2014,0.00019165916708725484,0,0.029993114972361564
Nashik,2015,6.822858520043542e-05,0,0.024971662183359365
Nashik,2016,0.0005750040729108513,0,0.06494901943776413
Nashik,2017,0.0003968612161578658,0,0.02998943818869304
Nashik,2018,0.0005886317958694401,0,0.08494637272826257
Nashik,2019,0.00042306373493617046,0,0.029961468244021204
Nashik,2020,0.0010971129607164475,0,0.03996146824402119
Patna,1989,0.0,0,0.0
Patna,1990,2.7397260273972603e-05,0,0.01
Patna,1991,0.0,0,0.0
